Q,Component,Question,QuestionLabel,Subcomponent,Indicator,LawOrPractice,Element name,Scoring,Precepts
38,Value realization,"From 2015 onwards, and after each licensing process, did the licensing authority actually disclose the list of companies that submitted license applications (in the case of a first-come, first served; or negotiation round) or bids (in the case of an auction)?",1.1.6a,Licensing,Post-licensing round practice,practice,License applicant disclosure,scoring,"[""Precept 3: Exploration and License Allocation""]"
39,Value realization,"Following each licensing process, is the licensing authority required to publicly disclose the identity of the winning bidder or applicant?",1.1.5b,Licensing,Post-licensing round rules,law,License winner disclosure requirement,scoring,"[""Precept 3: Exploration and License Allocation""]"
40,Value realization,"From 2015 onwards, and after each licensing process, did the licensing authority actually disclose the identity of the winning bidder/applicant?",1.1.6b,Licensing,Post-licensing round practice,practice,License winner disclosure,scoring,"[""Precept 3: Exploration and License Allocation""]"
41,Value realization,"Following the licensing process, is the licensing authority required to publicly disclose the list of areas or blocks allocated?",1.1.5c,Licensing,Post-licensing round rules,law,Block allocation disclosure requirement,scoring,"[""Precept 3: Exploration and License Allocation""]"
42,Value realization,"From 2015 onwards, and after each licensing process, did the licensing authority actually disclose the list of areas/blocks allocated?",1.1.6c,Licensing,Post-licensing round practice,practice,Block allocation disclosure,scoring,"[""Precept 3: Exploration and License Allocation""]"
43,Value realization,Are there rules that companies can follow to appeal licensing decisions?,1.1.5d,Licensing,Post-licensing round rules,law,Licensing decision appeal requirement,scoring,"[""Precept 3: Exploration and License Allocation""]"
44,Enabling environment,Is the legislature required to ratify licenses/contracts?,1.1.10d,Open data,Open data index,neither,License ratification,non-scoring,"[""Precept 2: Accountability and Transparency"", ""Precept 3: Exploration and License Allocation""]"
45,Value realization,"Is the publicly available registry of licenses/contracts available online, offline or in paper?",1.1.2b,Licensing,Cadaster,practice,Cadaster platform,scoring,"[""Precept 3: Exploration and License Allocation""]"
46,Value realization,Does the publicly available registry of licenses/contracts cover areas/blocks?,1.1.2c,Licensing,Cadaster,practice,Cadaster block coverage,scoring,"[""Precept 3: Exploration and License Allocation""]"
47,Value realization,Does the publicly available registry of licenses/contracts give the names of companies that hold an interest in a given area/block?,1.1.2d,Licensing,Cadaster,practice,Cadaster interest holders,scoring,"[""Precept 3: Exploration and License Allocation""]"
48,Enabling environment,What is the fiscal system for extractive resources?,1.2a,Open data,Open data index,neither,Extractives fiscal system,non-scoring,"[""Precept 4: Taxation""]"
49,Enabling environment,When does the country's fiscal year start and end?,2.1a,Open data,Open data index,neither,Fiscal year,non-scoring,[]
50,Value realization,Do rules specify the income tax rate(s) applying to extractive companies?,1.2.5a,Taxation,Taxation rules,law,Income tax rate rule,scoring,"[""Precept 4: Taxation""]"
51,Value realization,Do rules specify the royalty rate(s) applying to extractive companies?,1.2.5b,Taxation,Taxation rules,law,Royalty rate rule,scoring,"[""Precept 4: Taxation""]"
52,Value realization,Do rules specify the level of state equity (or options for state equity such as carried interest) in extractive companies ?,1.2.5c,Taxation,Taxation rules,law,State equity rule,scoring,"[""Precept 4: Taxation""]"
53,Value realization,Do rules specify the withholding tax rate(s) applying to extractive companies payments?,1.2.5d,Taxation,Taxation rules,law,Withholding tax rate rule,scoring,"[""Precept 4: Taxation""]"
54,Value realization,"For countries using production sharing agreements, do rules specify the company and government production shares?",1.2.5e,Taxation,Taxation rules,law,Production sharing arrangement rule,scoring,"[""Precept 4: Taxation""]"
55,Enabling environment,Who is the tax authority (i.e. who has the authority to collect taxes and payments from extractive companies)?,1.2.5f,Open data,Open data index,neither,Tax authority,non-scoring,"[""Precept 4: Taxation""]"
56,Value realization,Is the government required to publicly disclose data on payments from extractive companies to the government?,1.2.3a,Taxation,Company payment rules,law,Payment disclosure requirement,scoring,"[""Precept 4: Taxation""]"
59,Value realization,Does the government publicly disclose data on the value of tax/payment receipts?,1.2.4a,Taxation,Company payment disclosure,practice,Payment disclosure,scoring,"[""Precept 4: Taxation""]"
60,Value realization,How up-to-date is government data on the value of tax/payment receipts?,1.2.4b,Taxation,Company payment disclosure,practice,Payment disclosure timeliness,scoring,"[""Precept 4: Taxation""]"
61,Value realization,Is the most recent publicly available data on tax and payment receipts disaggregated by payment type?,1.2.4c,Taxation,Company payment disclosure,practice,Payment disclosure disaggregation,scoring,"[""Precept 4: Taxation""]"
62,Value realization,"Is the government required to make all payments to the national treasury or deposit them into a national resource account, aside from amounts legally retained by SOEs?",1.2.6a,Taxation,Tax authority rules,law,Payment deposit requirement,scoring,"[""Precept 4: Taxation""]"
63,Value realization,Is the national tax authority required to audit extractive companies?,1.2.6b,Taxation,Tax authority rules,law,Taxpayer audit requirement,scoring,"[""Precept 4: Taxation""]"
64,Value realization,Is the national tax authority required to periodically be audited by an external body?,1.2.6c,Taxation,Tax authority rules,law,Tax authority audit requirement,scoring,"[""Precept 4: Taxation""]"
65,Value realization,Was the national tax authority audited over the most recently completed audit timeframe?,1.2.7a,Taxation,Tax authority practice,practice,Tax authority audit timeframe,scoring,"[""Precept 4: Taxation""]"
66,Value realization,Are extractive companies required to prepare an EIA and/or SIA prior to development?,1.3.1a,Local impact,EIA/SIA rules,law,EIA/SIA requirement,scoring,"[""Precept 5: Local Effects""]"
67,Value realization,Is there a requirement for the EIA and/or SIA to be publicly disclosed?,1.3.1b,Local impact,EIA/SIA rules,law,EIA/SIA disclosure requirement,scoring,"[""Precept 5: Local Effects""]"
68,Value realization,"From 2015 onwards, have EIAs and/or SIAs been publicly disclosed?",1.3.2a,Local impact,EIA/SIA disclosure,practice,EIA/SIA disclosure practice,scoring,"[""Precept 5: Local Effects""]"
69,Value realization,Are extractive companies required to prepare environmental mitigation management plans prior to development?,1.3.3a,Local impact,Environmental mitigation plan rules,law,Environmental mitigation plan requirement,scoring,"[""Precept 5: Local Effects""]"
70,Value realization,Is there a requirement for environmental mitigation management plans to be publicly disclosed?,1.3.3b,Local impact,Environmental mitigation plan rules,law,Environmental mitigation plan disclosure requirement,scoring,"[""Precept 5: Local Effects""]"
71,Value realization,"From 2015 onwards, have environmental mitigation management plans been publicly disclosed?",1.3.4a,Local impact,Environmental mitigation plan disclosure,practice,Environmental mitigation plan disclosure practice,scoring,"[""Precept 5: Local Effects""]"
72,Value realization,"Do rules require the government to set penalties (i.e. fines, license suspension or license revocation) for non-compliance†with environmental mitigation management plans?",1.3.5a,Local impact,Environmental compliance rules,law,Environmental penalty requirement,scoring,"[""Precept 5: Local Effects""]"
73,Value realization,Are there rules governing compensation†to landowners or land users when project development interferes with their access to or use of land?,1.3.7a,Local impact,Compensation to land users and owners rules,law,Compensation requirement,scoring,"[""Precept 5: Local Effects""]"
75,Value realization,Are there specific procedures governing the†resettlement†of land users when project development interferes with their access to or use of land?,1.3.7b,Local impact,Compensation to land users and owners rules,law,Resettlement requirement,scoring,"[""Precept 5: Local Effects""]"
77,Value realization,Are there rules governing rehabilitation and closure of extractive projects?,1.3.5b,Local impact,Environmental compliance rules,law,Project closure requirement,scoring,"[""Precept 5: Local Effects""]"
78,Value realization,"From 2015 onwards, have the procedures governing†rehabilitation and closure†of extractive projects been adhered to?",1.3.6a,Local impact,Environmental compliance practice,practice,Project closure compliance,scoring,"[""Precept 5: Local Effects""]"
79,Enabling environment,What proportion of equity shares does the government own in extractive companies?,1.4a,Open data,Open data index,neither,Government equity shares,non-scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
80,Enabling environment,What is the name of the largest company in which the government has a controlling share (i.e. an SOE)?,1.4c,Open data,Open data index,neither,Largest SOE,non-scoring,[]
82,Value realization,Are there rules governing fiscal transfers between the government and the SOE?,1.4.1a,State-owned enterprises,SOE-government transfers rules,law,SOE-government transfers governance rule,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
84,Value realization,Does the government publicly disclose how much revenue it receives from the SOE?,1.4.2a,State-owned enterprises,SOE-government transfers disclosure,practice,Government-SOE receipt disclosure,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
85,Value realization,Does the SOE publicly disclose how much revenue it transfers to the government?,1.4.2b,State-owned enterprises,SOE-government transfers disclosure,practice,SOE-government transfer disclosure,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
86,Value realization,Is the SOE required to publicly disclose annual reports containing information on its finances and operations?,1.4.3a,State-owned enterprises,SOE financial reporting rules,law,SOE annual report disclosure requirement,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
87,Value realization,Has the SOE publicly disclosed annual reports on its finances and operations?,1.4.5b,State-owned enterprises,SOE financial reporting practice,practice,SOE annual report disclosure,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
88,Value realization,Does the SOE's most recent public annual report include†a balance sheet statement?,1.4.5c,State-owned enterprises,SOE financial reporting practice,practice,SOE balance sheet disclosure,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
89,Value realization,Does the SOE's most recent public annual report include†a cash flow statement?,1.4.5d,State-owned enterprises,SOE financial reporting practice,practice,SOE cash flow statement disclosure,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
90,Value realization,Does the SOE's most recent public annual report include†an income statement?,1.4.5e,State-owned enterprises,SOE financial reporting practice,practice,SOE income statement disclosure,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
91,Value realization,Does the SOE publicly disclose†its participation in joint ventures?,1.4.9a,State-owned enterprises,SOE joint ventures and subsidiaries disclosure,practice,SOE joint ventures disclosure,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
92,Value realization,Does the SOE publicly disclose its†levels of ownership in joint ventures?,1.4.9b,State-owned enterprises,SOE joint ventures and subsidiaries disclosure,practice,SOE joint venture participatory interest disclosure,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
93,Value realization,Does the SOE publicly disclose the†costs and revenues deriving from its participation in joint ventures?,1.4.9c,State-owned enterprises,SOE joint ventures and subsidiaries disclosure,practice,SOE joint venture cost and revenue disclosure,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
94,Value realization,Does the SOE publicly disclose†a list of its subsidiaries?,1.4.9d,State-owned enterprises,SOE joint ventures and subsidiaries disclosure,practice,SOE subsidiaries disclosure,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
95,Value realization,Does the SOE publicly disclose the†costs and revenues deriving from its subsidiaries?,1.4.9e,State-owned enterprises,SOE joint ventures and subsidiaries disclosure,practice,SOE subsidiaries cost and revenue disclosure,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
96,Value realization,Does the SOE publicly disclose its†aggregate production volume?,1.4.6a,State-owned enterprises,SOE production disclosure,practice,SOE production volume disclosure,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
97,Value realization,Does the SOE publicly disclose its†aggregate sales volume?,1.4.6b,State-owned enterprises,SOE production disclosure,practice,SOE sales volume disclosure,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
98,Value realization,Do rules require a periodic audit of the SOE's financial statements by an external body?,1.4.3b,State-owned enterprises,SOE financial reporting rules,law,SOE financial audit requirement,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
99,Value realization,Did an external body audit the SOE's annual financial statements over the most recently completed audit timeframe?,1.4.5a,State-owned enterprises,SOE financial reporting practice,practice,SOE audit timeframe,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
100,Value realization,"From 2015 onwards, did the SOE engage in non-commercial activities (e.g. payments for social services, public infrastructure, fuel subsidies, national debt servicing)?",1.4.4a,State-owned enterprises,SOE non-commercial activity practice,practice,SOE non-commercial activity,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
101,Value realization,Has the SOE publicly disclosed the amount spent on non-commercial activities?,1.4.4b,State-owned enterprises,SOE non-commercial activity practice,practice,SOE non-commercial spending,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
102,Enabling environment,Does the SOE receive a production share or in-kind payments from extractive companies?,1.4b,Open data,Open data index,neither,SOE production sharing,non-scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
105,Value realization,Are there rules that govern how the SOE should select the buyers of its production?,1.4.7a,State-owned enterprises,Commodity sale rules,law,SOE production buyer selection rule,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
106,Value realization,Are there rules that determine the prices at which the SOE should sell its production?,1.4.7b,State-owned enterprises,Commodity sale rules,law,SOE production sale price rule,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
107,Value realization,Are there rules that govern how the proceeds from the sale of the SOE's production should be transferred to the government?,1.4.7c,State-owned enterprises,Commodity sale rules,law,SOE sales proceed transfer rule,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
109,Value realization,Are there rules that require the SOE or government to publicly disclose information on the sale of production by the SOE?,1.4.7d,State-owned enterprises,Commodity sale rules,law,SOE sales disclosure rule,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
110,Value realization,Does the SOE or government publicly disclose the volume of production sold by the SOE?,1.4.8a,State-owned enterprises,Commodity sale disclosures,practice,SOE sold production volume disclosure,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
111,Value realization,Does the SOE or government publicly disclose the value of the production sold by the SOE?,1.4.8b,State-owned enterprises,Commodity sale disclosures,practice,SOE sold production value disclosure,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
112,Value realization,Does the SOE or government publicly disclose the date of the production sales executed by the SOE?,1.4.8c,State-owned enterprises,Commodity sale disclosures,practice,SOE production sale date disclosure,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
113,Value realization,Does the SOE or government publicly disclose the names of the companies that bought the production sold by the SOE?,1.4.8d,State-owned enterprises,Commodity sale disclosures,practice,SOE production buyers disclosure,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
114,Value realization,Is the majority of the SOE's board of directors independent of the government (i.e. at least half of all board members do not hold positions in the current central government)?,1.4.10b,State-owned enterprises,SOE corporate governance practice,practice,SOE board of directors independence,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
115,Value realization,Does the SOE have a publicly available code of conduct?,1.4.10a,State-owned enterprises,SOE corporate governance practice,practice,SOE code of conduct,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
116,Value realization,"Is the SOE required to submit annual reports to the legislature on its commercial, non-commercial (i.e. regulatory) and non-operational activities (i.e. activities not related to resource extraction)?",1.4.3c,State-owned enterprises,SOE financial reporting rules,law,SOE report legislative review requirement,scoring,"[""Precept 6: Nationally Owned Resource Companies""]"
117,Revenue management,Does the country have a numerical†fiscal rule?,2.1.2a,National budgeting,Fiscal rules,law,Fiscal rule existence,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility"", ""Precept 9: Government Spending""]"
118,Revenue management,"Over the most recently completed fiscal year, did the government adhere to the numerical fiscal rule?",2.1.3a,National budgeting,Fiscal rule practice,practice,Fiscal rule adherence,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility"", ""Precept 9: Government Spending""]"
119,Revenue management,Do rules require that an external body periodically monitor the government's†adherence to the numerical fiscal rule?,2.1.2b,National budgeting,Fiscal rules,law,Fiscal rule monitoring requirement,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility"", ""Precept 9: Government Spending""]"
120,Revenue management,Was the government's adherence to the fiscal rule externally monitored over the most recently completed audit timeframe?,2.1.3b,National budgeting,Fiscal rule practice,practice,Fiscal rule monitoring timeframe,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility"", ""Precept 9: Government Spending""]"
121,Revenue management,Does the government publicly disclose projections of extractive resource revenues?,2.1.4a,National budgeting,National budget disclosure,practice,Revenue projections disclosure,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility"", ""Precept 9: Government Spending""]"
122,Revenue management,Has the government publicly disclosed a national budget that has been enacted for the current fiscal year?,2.1.4b,National budgeting,National budget disclosure,practice,Budget disclosure,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility"", ""Precept 9: Government Spending""]"
124,Revenue management,"For the most recently completed fiscal year, did the government publicly disclose the total resource revenue received?",2.1.4d,National budgeting,National budget disclosure,practice,Resource revenue disclosure,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility"", ""Precept 9: Government Spending""]"
125,Revenue management,"For the most recently completed fiscal year, did the government publicly disclose total government expenditures?",2.1.4c,National budgeting,National budget disclosure,practice,Government expenditure disclosure,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility"", ""Precept 9: Government Spending""]"
126,Revenue management,Does the government publicly disclose the level of national debt?,2.1.5a,National budgeting,National debt disclosure,practice,Debt level disclosure,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility"", ""Precept 9: Government Spending""]"
127,Revenue management,Is the most recent publicly available information on the national debt†disaggregated by currency denomination (i.e. foreign or domestic)?,2.1.5b,National budgeting,National debt disclosure,practice,Debt currency denomination,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility"", ""Precept 9: Government Spending""]"
128,Enabling environment,Does the central government transfer extractive resource revenues to subnational governments?,2.2a,Open data,Open data index,neither,Subnational resource revenue transfer,non-scoring,"[""Precept 5: Local Effects"", ""Precept 7: Revenue Distribution"", ""Precept 9: Government Spending""]"
129,Enabling environment,Are there specific rules governing the transfer of extractive resource revenues (i.e. are these rules distinct from those governing other types of transfers)?,2.2b,Open data,Open data index,neither,Subnational resource revenue transfer rules,non-scoring,"[""Precept 5: Local Effects"", ""Precept 7: Revenue Distribution"", ""Precept 9: Government Spending""]"
130,Enabling environment,Do rules specify that subnational governments of producing areas should receive a higher share of extractive resource revenues than those of non-producing areas?,2.2c,Open data,Open data index,neither,Subnational resource revenue transfer shares,non-scoring,"[""Precept 5: Local Effects"", ""Precept 7: Revenue Distribution"", ""Precept 9: Government Spending""]"
132,Revenue management,Do rules specify which subnational agencies receive the extractive resource revenues transferred from the central government?,2.2.1a,Subnational resource revenue sharing,Subnational transfer agency rules,law,Subnational agency rule,scoring,"[""Precept 5: Local Effects"", ""Precept 7: Revenue Distribution"", ""Precept 9: Government Spending""]"
133,Revenue management,Do rules specify a formula governing the transfer of extractive resource revenues between the central government and subnational governments?,2.2.2a,Subnational resource revenue sharing,Subnational transfer rules,law,Revenue sharing formula,scoring,"[""Precept 5: Local Effects"", ""Precept 7: Revenue Distribution"", ""Precept 9: Government Spending""]"
134,Revenue management,"If there is a formula governing the transfer of extractive resource revenue between the central government and subnational governments, does this formula specify the amount of revenue received by each subnational government?",2.2.2b,Subnational resource revenue sharing,Subnational transfer rules,law,Revenue share amount specification,scoring,"[""Precept 5: Local Effects"", ""Precept 7: Revenue Distribution"", ""Precept 9: Government Spending""]"
135,Revenue management,"From 2015 onwards, did the central government disclose the amount of revenues transferred to subnational governments?",2.2.3a,Subnational resource revenue sharing,Subnational transfer disclosure,practice,Revenues shared disclosure,scoring,"[""Precept 5: Local Effects"", ""Precept 7: Revenue Distribution"", ""Precept 9: Government Spending""]"
136,Revenue management,How up-to-date is the information publicly disclosed by the central government on the amount of revenues transferred to subnational governments?,2.2.3b,Subnational resource revenue sharing,Subnational transfer disclosure,practice,Revenues shared disclosure timeliness,scoring,"[""Precept 5: Local Effects"", ""Precept 7: Revenue Distribution"", ""Precept 9: Government Spending""]"
138,Revenue management,"From 2015 onwards, has the central government publicly disclosed the amount of revenue transferred by revenue stream?",2.2.3c,Subnational resource revenue sharing,Subnational transfer disclosure,practice,Revenues shared disclosure by revenue stream,scoring,"[""Precept 5: Local Effects"", ""Precept 7: Revenue Distribution"", ""Precept 9: Government Spending""]"
142,Revenue management,Do rules require that an external body periodically audit the transfers of extractive resource revenues to subnational governments?,2.2.4a,Subnational resource revenue sharing,Subnational transfer audit rule,law,Transfer audit requirement,scoring,"[""Precept 5: Local Effects"", ""Precept 7: Revenue Distribution"", ""Precept 9: Government Spending""]"
143,Revenue management,Were transfers of extractive resource revenues to subnational governments externally audited over the most recently completed audit timeframe?,2.2.5a,Subnational resource revenue sharing,Subnational transfer audit practice,practice,Transfer audit timeframe,scoring,"[""Precept 5: Local Effects"", ""Precept 7: Revenue Distribution"", ""Precept 9: Government Spending""]"
144,Enabling environment,Does the country have a natural resource fund which is funded by extractive resource revenues?,2.3a,Open data,Open data index,neither,Sovereign wealth fund existence,non-scoring,"[""Precept 2: Accountability and Transparency"", ""Precept 8: Revenue Volatility""]"
